# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	239737
#@/user_id	0278165e-67a8-4678-b168-f946133cb532
bao jia 	報價	c=14 d=6.16836e-199 t=239737
bao jian 	寶劍	c=0 d=1.08325e-30 t=239737
bao jie 	保潔	c=3 d=0 t=239737
bao jing 	報警	c=12 d=1.40004e-98 t=239737
bao kuo 	包括	c=6 d=5.53071e-180 t=239737
bao lei 	堡壘	c=0 d=2.65633e-112 t=239737
bao lei ji 	堡壘機	c=4 d=3.49391e-12 t=239737
bao li 	暴利	c=2 d=4.89759e-44 t=239737
bao li 	暴力	c=3 d=2.90075e-29 t=239737
bao liang 	保量	c=0 d=8.99757e-259 t=239737
bao lie 	暴裂	c=3 d=1.16696e-228 t=239737
bao lie 	爆裂	c=1 d=0 t=239737
bao liu 	保留	c=17 d=3.77285e-52 t=239737
bao long 	宝龙	c=1 d=0 t=239737
bao lu 	暴露	c=10 d=6.50937e-185 t=239737
bao ma 	寶馬	c=1 d=2.87237e-31 t=239737
bao mi 	保密	c=1 d=0 t=239737
bao mi hua 	爆米花	c=1 d=2.17454e-227 t=239737
bao ming 	保命	c=1 d=6.46782e-51 t=239737
bao ming 	包名	c=4 d=1.35338e-258 t=239737
bao ming 	報名	c=9 d=2.57799e-53 t=239737
bao ping an 	保平安	c=1 d=0 t=239737
bao qian 	抱歉	c=1 d=0 t=239737
bao quan 	抱拳	c=1 d=1.44701e-141 t=239737
bao shan 	寶山	c=8 d=6.4738e-150 t=239737
bao shan lu 	寶山路	c=7 d=5.19691e-36 t=239737
bao shou 	保守	c=1 d=2.90256e-242 t=239737
bao shou 	保收	c=1 d=6.71054e-102 t=239737
bao tong 	宝通	c=17 d=1.65727e-06 t=239737
bao tong lu 	宝通路	c=10 d=3.05049e-141 t=239737
bao tuan 	抱團	c=1 d=0 t=239737
bao wen 	報文	c=28 d=5.06655e-249 t=239737
bao wen bei 	保溫杯	c=1 d=2.87867e-233 t=239737
bao xian 	保險	c=24 d=7.09065e-15 t=239737
